Widok,Inwestycja,Deweloper,Liczba Mieszkań,Balkony,Fasady,Mieszkania,Teren,Udogodnienia,Wnętrza,ocenaLOG,ocena_wazona,Longitude,Latitude
#r6982,Osiedle Lawenda Park II,Metropolis,1,,,,,,,0.00,0,19.9427079,50.11982339999998
#r6985,Osiedle Ogrody Żabińca - D,Metropolis,118,2,0,,0,2,,1.43,169.19,19.946833554466934,50.0814118291506
#r6988,Osiedle Ogrody Żabińca Sanremo i Verona,Metropolis,58,2,0,,0,1,,1.11,64.24,19.9462107,50.0816582
#r6987,Osiedle Ogrody Żabińca- Modena,Metropolis,25,2,0,,0,3,,2.00,49.93,19.946197422299647,50.08230888807024
#r6989,Osiedle Lawenda Park,Metropolis,20,,1,,0,,,0.62,12.4,19.9427079,50.11982339999998
#r6990,Osiedle Ogrody Żabińca Ravenna i Sorrento,Metropolis,58,2,0,,0,1,,1.11,64.24,19.946213326897293,50.08228237756013
#r6991,Villa Rejtana 4,Metropolis,21,0,2,,0,0,1,0.96,20.24,19.9457216,50.0439708
#r6993,Krowoderska 40,Metropolis,40,3,1,1,0,,3,2.23,89.29,19.934207642567987,50.0699989143831
#r7007,Novy Mateczny,MIX Nieruchomości,143,3,2,,0,,2,2.19,313.66,19.942260268494,50.033740603724
#r7003,Złoty Róg 54,Frena,4,3,2,,0,,2,2.19,8.77,19.892664388342,50.081882309136
#r7002,Tarasy Moderno,DGI Lesław Sarachmann,28,2,2,,1,,,1.76,49.37,19.920313568709,50.022841882668
#r7080,Wężyka 10,Grupa Wawel Service,48,0,0,,0,,1,0.36,17.15,20.014743732967524,50.07269458113902
#r7082,Lema,Grupa Wawel Service,96,1,0,,0,,,0.45,43.47,19.985537955449168,50.069886380059465
#r7083,Halszki - 28A - Etap II,Grupa Wawel Service,94,1,1,,0,,,0.76,71.76,19.94768411189124,50.00783082510783
#r7085,Mieszkania przy ul. Halszki etap III,Grupa Wawel Service,49,0,1,,0,,,0.45,22.19,19.9449799,50.06465009999999
#r7086,"Borkowska B1 i B2 ",Grupa Wawel Service,89,1,0,,0,0,,0.36,31.81,19.902497212969145,50.00232557277851
#r7087,Zawiła,Grupa Wawel Service,84,1,1,,0,1,,0.83,69.55,19.904896430482868,50.00581934108882
#r7088,Wyspiański Park,Grupa Wawel Service,95,1,0,,0,,,0.45,43.02,19.9226587,50.0825773
#r7089,Wielicka 44,Grupa Wawel Service,144,2,1,,0,,,1.31,188.5,19.96765894449732,50.0369864399656
#r7090,Mochnackiego,Grupa Wawel Service,71,2,1,,0,,,1.31,92.94,19.963741890577964,50.02347376500453
#r7091,Mieszkania przy ul. Halszki,Grupa Wawel Service,175,1,1,,0,,,0.76,133.59,19.9471615,50.0075938
#r7092,Klonowica,Grupa Wawel Service,184,2,0,,0,,,1.14,209.93,19.9561299,50.0202252
#r7093,Apartamenty Sowiniec,Grupa Wawel Service,60,2,3,,0,,,2.25,135.02,19.851675155175542,50.06864339125485
#r7094,Białoprądnicka,Grupa Wawel Service,115,0,1,,0,,,0.45,52.08,19.93505101689066,50.09405402966769
#r7095,Piasta Park,Grupa Wawel Service,224,1,1,0,0,,,0.62,138.91,20.01674131641978,50.10243213842713
#r7116,Nowe Zabłocie,Chemobudowa-Kraków S.A.,120,2,3,1,1,,2,2.09,250.43,19.9719751,50.048100699999985
#r7154,Białoprądnicka Park,Hammak,36,3,0,1,0,0,,1.64,59.08,19.938844442367557,50.0921316524012
#r7168,Tutaj Bunscha,Epol Holding,172,,,,,,,0.00,0,19.8814563,50.0098479
#r7167,Apartamenty Casa Sole,Smart Apartments Sp. z o.o.,11,,,,,,,0.00,0,19.8994034,50.012689
#r7162,Stare Podgórze,Fracthon,6,0,3,,0,,3,2.36,14.13,19.9449286,50.0429975
#r7189,Zgodna Park,BROTHERM Sp. z o.o.,24,1,1,,0,,,0.76,18.32,19.89660749548968,49.97890609082196
#r7198,Skwer Harmonia II,ATAL S.A.,251,3,1,0,0,1,,1.71,428.09,20.0426727,50.0399972
#r7206,Osiedle Solne etap II,KG Group Sp. z o.o.,185,2,2,,2,,,2.00,370,20.0348143,49.993599
#r7211,Wiślane Klimaty,Grupa Deweloperska START,69,2,0,,0,,2,1.43,98.93,19.997740043662834,50.046911829415286
#r7216,Łąki Nowohuckie,Odmętowa Development Sp. z o.o.,16,,1,,1,,,1.00,16,20.04907225868576,50.06299712324176
#r7247,Gryczana 23,Gryczana 23 Artwik Sp.k.,20,2,1,2,0,,,1.53,30.63,19.9088976,50.10982329999999
#r7253,Kuźnicy Kołłątajowskiej 42,Real-Construct Sp. z o.o.,40,0,1,1,0,,,0.62,24.8,19.9544515,50.09843050000001
#r7258,Osiedle Niezapominajek,Stylhut Plus Sp. z o.o.,70,2,3,,0,,,2.25,157.53,19.8435454,50.069288
#r7273,Lipińskiego Nova,Grupa Deweloperska START,30,1,1,,1,,1,1.00,30,19.9245420026114,50.02807639108103
#r7283,Strefa Cegielnia 3,ATAL S.A.,137,2,1,,1,,,1.45,199.04,20.0432035,50.1083043
#r7323,Ecco Panorama etap C-D,PM-Development Sp. z o.o.,108,0,1,,0,,,0.45,48.91,20.06290465472719,50.002766196819145
#r7318,3 Wymiary Bronowice,Quelle Locum Sp. z o.o.,99,0,1,,1,1,1,0.86,85.62,19.90876899246737,50.09431136659236
#r7346,Dębowa 51,AWIM Nieruchomości,40,0,1,2,0,,,1.11,44.3,20.0642751,49.9981743
#r7343,Enklawa Bukowa II,Grupa Wawel Service,189,0,0,,1,,,0.45,85.59,20.0494692,50.03932789999999
#r7348,29L,Archicom S.A.,389,0,0,0,0,2,,0.82,320.23,19.9561234,50.0888139
#r7351,Żabiniec Vita,Develia,120,1,1,0,0,,2,1.09,130.43,19.9454641,50.0818884
#r7354,Awangarda Mogilska,Skanska Residential Development Poland Sp. z o.o.,278,3,3,2,2,1,,2.45,679.78,19.9804299,50.0696404
#r7362,Osiedle Górka Narodowa etap 3,Dom Development S.A.,386,1,0,,1,,2,1.24,478.73,19.95333402839369,50.09972395313532
#r7414,Trybuny Ludów 27,Excon S.A.,10,3,0,,0,,,2.00,19.96,19.962779170186877,50.01841643479263
#r7423,Dolina Krasowa,Antrans Invest Sp. z o.o.,84,3,1,,3,,,2.66,223.44,19.649580115969755,50.134291991305496
#r7424,Zacisze Biema,Antrans Invest Sp. z o.o.,76,2,2,1,0,,,1.53,116.38,19.578799042611966,50.26030106930183
#r7430,Dolina Krasowa II,Antrans Invest Sp. z o.o.,84,3,1,,0,,,2.07,173.98,19.650023697522606,50.13458693117279
#r7442,Osiedle Bonarka Living etap 2 - budynek C i D,Echo Residential by Archicom,330,1,0,1,1,,,0.83,273.24,19.946783550449535,50.02871548420997
#r7443,ZAM Apartments,Echo Residential by Archicom,100,2,0,,2,1,,1.53,153.13,19.936280323614497,50.035242338780165
#r7451,Solaris Park etap II,Semaco,245,2,1,1,0,2,2,1.56,382.64,19.986941255082172,50.06993531648346
#r7491,Osiedle Piltza etap X,KG Group Sp. z o.o.,179,2,0,,0,0,,0.95,170.85,19.890296687787096,50.010604479927515
#r7485,Piastowska 30,ACATOM Sp. z o.o.,35,3,1,,0,,2,2.05,71.89,19.90406776781579,50.07097217149466
#r7494,ul. Meiera 16E - II etap,Dom-Bud M. Szaflarski Sp. j.,110,1,1,0,0,1,1,0.76,83.97,19.964104840876526,50.09961492146003
#r7497,ul. Powstańców/os. Piastów bud. D,Dom-Bud M. Szaflarski Sp. j.,119,1,0,,0,,1,0.62,73.79,20.01596962337398,50.1052593157262
#r7580,DoWoli,Buma,90,2,0,1,1,1,,1.20,107.69,19.9629218508491,50.02056933308407
#r7597,Mierzeja Wiślana etap II,Instal Kraków S.A.,133,,,,,,,0.00,0,20.000668987934915,50.03579939837143
#r7605,Centralna II,Grupa Proins,84,0,1,0,0,,,0.36,30.02,20.011589772142884,50.06432298361415
#r7639,Różana 28,PM-Development Sp. z o.o.,74,0,0,,0,,,0.00,0,20.02757722994011,49.994615622468025
#r7661,Osiedle Rodzinne etap II,"AB ARCHI – INWEST SP. J A. ŚWIERCZEK, S. CAŁKA SP.K.",32,2,1,,0,,,1.31,41.89,20.707042692662405,50.46237736797073
#r7663,Osiedle na Wzgórzu,"AML Andrzej Bluj, Marcin Tandos, Łukasz Dziurski s.c.",57,2,1,,1,1,,1.36,77.37,20.02191557931357,50.356049025142575
#r7723,Apartamenty Browarna,"Firma Handlowo Usługowa ""ROMAN"" Roman Pażucha",57,2,1,,1,,,1.45,82.81,20.72524813379741,49.61006178886273
#r7745,Zenit Głowackiego,GVD Sp. z o.o.,86,3,2,,2,3,3,2.71,232.93,19.9064112,50.0783565
#r7767,Pychowicka 27,Janex Sp. z o.o.,16,0,0,1,0,1,,0.52,8.37,19.916060834631992,50.03268437602311
#r7809,Wielicka 179 - etap II,MTW Development,87,0,0,1,0,0,2,0.85,74.38,19.981276071602895,50.02181588601601
#r7808,Lemko Residence,MTW Development,44,3,2,0,0,2,,2.00,87.9,20.95437,49.42662
#r7850,Słoneczne Zacisze,SHD Investment Sp. z o.o.,18,2,1,,0,,,1.31,23.56,19.720085241096776,50.12709206109718
#r7837,Park Leśny Bronowice etap IV,Quelle Locum Sp. z o.o.,47,,,,,,,0.00,0,19.87351671496066,50.10105749031164
#r7870,Apartamenty Gałczyńskiego,Toplokum Sp. z o.o.,14,2,2,,1,,2,1.83,25.59,20.0119,50.07079
#r7889,Bibickie Wzgórze,Akopol Sp. z o.o.,40,1,1,1,0,,,0.83,33.12,19.965590201483344,50.14026806959398
#r7910,Mieszkania Stanisławice,"Archi-Inwest Sp.j A.Świerczek, S.Całka",15,1,0,,0,,,0.45,6.79,20.35407027673489,49.98783335797117
#r7924,Apartamenty Park Matecznego Etap 2,Dom Development S.A.,114,3,2,,1,,3,2.53,288.57,19.937485279085355,50.03628873132268
#r7930,Dolnomłyńska 5,HK Group,14,1,0,,0,,,0.45,6.34,20.00830102025325,50.07279340719133
#r7940,Budynek Miechowska,Nowum Wolbrom,63,,,,,,,0.00,0,19.776902929412202,50.383767122784874
#r7960,Nowa Dzielnica,WJAP INVEST,60,,,,,1,,1.00,60,20.70838229957183,50.46406410142585
#r7964,Myśliwska Solar Garden,ASA Development,157,2,0,,0,,,1.14,179.13,19.98617996897192,50.04571352984435
#r7989,ul. Powstańców/os. Piastów bud. F,Dom-Bud M. Szaflarski Sp. j.,119,1,0,0,1,,2,1.09,129.34,20.016069539901356,50.10509858329503
#r8008,Sowia,HSD Inwestycje,20,2,1,,0,,,1.31,26.18,19.938650564999314,50.0228236357405
#r8014,CASCADA House,Imperial Capital,64,3,3,,2,,,2.76,176.86,19.84080342407794,50.10303743445386
#r8022,Mierzeja Wiślana etap IV,Instal Kraków S.A.,207,2,1,0,0,0,,0.96,199.49,20.0030564,50.0356422
#r8029,Murapol GreenCity bud. 2,Murapol S.A.,249,0,0,,2,,,1.14,284.09,20.04565151717115,50.0212792118821
#r8037,Lokum Siesta,Lokum Deweloper,576,2,1,,1,0,2,1.45,832.47,19.928908364232434,50.034225888204276
#r8041,Lokum Vista Etap I,Lokum Deweloper,245,1,1,,3,,2,2.11,516.34,19.9613213122477,50.0250728959517
